,title,date,context
0,[유가증권 메모] (21일) 보통주추가상장=JW중외제약(주식의 종류 변경) 두산인프라코어 코오롱인더스트리(이상 신주인수권 행사),2018-09-21 02:42,"◇보통주추가상장=JW중외제약(주식의 종류 변경) 두산인프라코어 코오롱인더스트리(이상 신주인수권 행사)[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
1,"애경, JW중외제약과 협업한 더마 브랜드 '더마에스떼' 선봬",2018-09-18 11:41,"애경은 새로운 더마 브랜드 더마에스떼를 선보이며 모델로 변정수를 발탁했다.    생활뷰티기업 애경산업에서 뉴 더마 스킨케어 브랜드 ‘더마에스떼’를 새롭게 선보인다고 18일 밝혔다.  더마에스떼는 피부과학을 뜻하는 더마와 피부미용 전문가에게 피부 관리를 받아 아름다운 피부를 가꾸는 것을 뜻하는 에스테틱의 결합으로 피부에 즉각적인 효과 줄 수 있는 화장품이라는 의미를 담았다.  더마에스떼는 히알루론산, 센텔라아시아티카 등을 처방해 순한 더마의 기능을 강조한 기존의 더마 화장품 브랜드와 달리 즉각적인 피부 효과를 줄 수 있는 독한 더마 성분을 사용해 차별화를 둔 것이 특징이다.  또한 더마에스떼는 JW신약과 기술협약을 통해 애경산업이 60여년 동안 쌓아온 화장품 기술력과 노하우에 JW신약의 독자적인 기술력으로 특허 받은 CTP 기술 등을 화장품에 적용해 더마 화장품의 안전성과 흡수력을 높였다.  더마에스떼는 또 브랜드 모델로 4050 여성의 워너비가 되고 있는 모델 겸 배우 변정수를 발탁했다.  애경산업 관계자는 “더마에스떼는 강력한 더마 화장품으로 인공 거미독 성분과 인공 거미줄 단백질을 처방한 세럼, 크림 등 스킨케어 화장품 등을 홈쇼핑을 통해 선보일 예정”이라며 “독한 더마 화장품으로 주름 취약존을 집중 관리해줘 여성 고객들에게 큰 인기를 끌 것”이라고 말했다. padet80@fnnews.com 박신영 기자   ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
2,[한가위 부모님 건강 챙기세요] JW중외제약 '뉴먼트프리미엄B' 체력저하·만성피로 탈출,2018-09-17 17:28,"[서울경제] 오래 직장생활을 한 직장인이라면 누구나 육체 피로와 신경피로, 체력 저하에 시달린다. 이로 인한 두통과 구내염, 소화불량 무력감은 덤이다.실제로 최근의 한 설문조사에 따르면 직장인 10명 중 8명은 만성피로를 느끼고 있는 것으로 나타났다. JW중외제약의 ‘뉴먼트프리미엄B’는 이처럼 만성피로와 체력 저하에 시달리는 현대인을 위한 비타민제다. 만성피로는 비타민B군이 체내에 부족해지면 나타난다. ‘티아민’으로도 불리는 비타민B1은 신경과 근육 활동에 필수적으로 에너지 대사와 핵산 합성에 관여한다. 핵산은 신진대사 촉진, 치매 예방, 간 기능 향상에 기여하므로 이를 합성하는 데 필요한 비타민B1은 비타민B 가운데 가장 중요하다. 가장 눈에 띄는 활성형 비타민B1 성분 두 가지는 바로 ‘푸르설티아민’과 ‘벤포티아민’이다. 뉴먼트프리미엄B는 뇌 장벽을 통과해 신경에 티아민을 전달해주는 푸르설티아민과 신체에서 빠른 흡수와 오랜 지속 효과를 발휘하는 벤포티아민 성분을 동시에 갖춘 제품이다. 벤포티아민은 다른 티아민 성분보다 생체이용률이 높고 두뇌를 제외한 신체 전반적인 티아민 부족을 빠르게 채워준다. 육체적으로 피로하거나 운동에너지를 많이 필요로 하는 현대인에게 적합하다. 푸르설티아민은 뇌에도 빠르게 티아민을 공급해 스트레스를 많이 겪는 수험생이나 잦은 회식 등으로 알코올성 질환이 우려되는 직장인에게 도움을 준다.JW중외제약 관계자는 “최근 증상에 따른 맞춤형 비타민 섭취가 늘고 있다”며 “특히 피곤하고 스트레스를 많이 받는 직장인들에게 비타민B 제품이 큰 인기를 끌고 있다”고 말했다. /양사록기자 sarok@sedaily.com[서울경제 바로가기]프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]블록체인의 모든 것, 서울경제 Decenter [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
3,"JW중외제약, 멸균식염수 '크린클' 홈페이지 오픈",2018-09-13 14:17,"[이데일리 강경훈 기자] JW중외제약(001060)이 약국 전용 멸균생리식염수 ‘크린클’ 브랜드 홈페이지를 오픈하고 마케팅을 강화한다고 13일 밝혔다.크린클은 보존제가 들어 있지 않아 일반 식염수보다 엄격한 기준으로 생산되는 멸균 생리식염수다. 관류용이나 상처, 코점막 세정, 양치, 의료용구 세척 등에 쓴다.새로 만든 홈페이지는 크린클 브랜드 소개를 비롯해 제품 사용용도, 공지사항 등으로 구성돼 있으며 크린클의 제조공정과 수액 역사를 숫자로 살펴볼 수 있는 ‘수액이야기’ 카테고리도 있다.JW중외제약 관계자는 “크린클은 국내 최대 자체 수액 생산라인을 보유한 JW중외제약의 엄격한 기준으로 만든 제품”이라며 “홈페이지 오픈을 계기로 멸균생리식염수 고객들과 더 많은 소통을 통해 브랜드 인지도를 높여나갈 것”이라고 말했다.크린클은 20㎖, 1000㎖ 용량으로 구성돼 있으며 약국에서 살 수 있다.강경훈 (kwkang@edaily.co.kr)네이버에서 ‘이데일리’ 구독하면 '공기청정기' 드려요~ [구독하기▶]20~30 세대를 위한 꿀팁! 정보 [스냅타임▶]꿀잼 '웹툰'이 매일 매일 공짜...[웹툰보기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
4,"JW중외제약, 멸균생리식염수 ‘크린클’ 홈페이지 열어",2018-09-13 13:55,"브랜드·정확한 사용 용도 안내 위해수액 관련 콘텐츠로 제품 이해 높여[서울경제] JW중외제약(001060)은 보존제가 들어있지 않은 약국 전용 멸균생리식염수 ‘크린클’에 대한 각종 정보가 담겨있는 브랜드 홈페이지(www.cleancle.co.kr)를 열었다고 13일 밝혔다.크린클은 일반 식염수보다 엄격한 기준으로 생산되는 의학 목적의 멸균 생리식염수로 관류용이나 상처, 코 점막 세정, 양치, 의료용구 세척 등에 주로 사용된다. 방부제와 같은 보존제를 첨가하지 않아 안심하고 비강 세척에 사용할 수 있는 것이 특징이다. 크린클 브랜드 홈페이지는 크린클 브랜드와 제품 용도 소개 공지사항 등으로 구성됐으며, 크린클의 제조 공정과 수액 역사를 숫자로 살펴볼 수 있는 ‘수액이야기’ 카테고리도 마련됐다.JW중외제약 관계자는 “크린클은 국내 최대의 자체 수액 생산라인을 자랑하는 JW의 엄격한 기준 아래 생산한 제품”이라며 “이번 홈페이지 오픈을 계기로 멸균생리식염수를 찾는 고객들과의 접점에서 더 많은 소통을 통해 브랜드 인지도를 높여나가겠다”고 말했다. 크린클은 20㎖, 1,000㎖ 용량으로 구성돼 있으며, 약국에서 구매할 수 있다./양사록기자 sarok@sedaily.com[서울경제 바로가기]프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]블록체인의 모든 것, 서울경제 Decenter [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
5,"JW중외제약, 100억원 규모 자사주 매입",2018-09-12 15:49,"[머니투데이 민승기 기자] [주가 안정 통한 주주가치 제고 목적…장내매수 통해 직접 취득]/사진제공=JW중외제약JW중외제약은 주가 안정을 통한 주주가치 제고를 위해 자기주식 22만1240주를 100억원에 취득하기로 결정했다고 12일 공시했다.이날 JW중외제약은 이사회를 열고 이같은 안건을 의결했다. JW중외제약은 장내매수를 통해 직접 취득할 예정이며, 3개월 이내 절차를 마무리할 방침이다. 이번 자사주 매입은 지난 2007년 JW그룹이 지주회사로 전환한 이후 처음이다.JW중외제약 관계자는 ""주가 안정을 통한 주주 가치 제고를 위해 자사주 매입을 결정했다""며 ""앞으로도 주주 환원 정책을 지속 강화할 방침""이라고 말했다.▶더 많은 머니투데이 기사보기▶실시간 급상승 ▶'MT리포트'가 새로 발행되었습니다 민승기 기자 a1382a@mt.co.kr<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
6,"JW중외제약, 자사주 22만주 취득 결정…""주주가치 제고""",2018-09-12 14:14,"[이데일리 이성웅 기자] JW중외제약(001060)은 주가안정을 통한 주주가치 제고를 위해 자기주식 22만1240주 취득을 결정했다고 12일 밝혔다.취득예정금액은 100억4만원이며, 장내매수를 통해 취득한다. 취득예상기간은 오는 12월12일까지다.이성웅 (saintlee@edaily.co.kr)네이버에서 ‘이데일리’ 구독하면 '공기청정기' 드려요~ [구독하기▶]20~30 세대를 위한 꿀팁! 정보 [스냅타임▶]꿀잼 '웹툰'이 매일 매일 공짜...[웹툰보기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
7,"JW중외제약, 주주가치 제고 위해 100억 규모 자사주 매입",2018-09-12 14:50,[이데일리 강경훈 기자] JW중외제약(001060)이 100억원 규모의 자사주를 매입했다고 12일 공시했다.중외제약은 이날 이사회를 열고 자사주 매입 안건을 의결했다. 매입가는 이사회 결의일 전일 종가 기준(45만200원) 22만1240주다.JW중외제약은 장내매수를 통해 직접 취득할 예정이며 3개월 이내 절차를 마무리한다는 방침이다.자사주 매입은 2007년 JW그룹이 지주회사로 전환한 이후 처음이다. 이번 JW중외제약 자사주 매입은 회사의 주가가 기업가치에 비해 저평가돼 있다는 판단에 따른 것으로 평가된다. 또 최근 아토피 피부염 치료제의 기술수출 결실로 인한 혁신신약 파이프라인에 대한 자신감과 장기적으로는 회사의 실적이 개선될 것이라는 전망을 반영한 것으로 볼 수 있다는 분석도 나온다.JW중외제약 관계자는 “주가 안정을 통한 주주가치 제고를 위해 자사주 매입을 결정했다”며 “앞으로도 주주 환원정책을 지속적으로 강화할 방침”이라고 말했다.강경훈 (kwkang@edaily.co.kr)네이버에서 ‘이데일리’ 구독하면 '공기청정기' 드려요~ [구독하기▶]20~30 세대를 위한 꿀팁! 정보 [스냅타임▶]꿀잼 '웹툰'이 매일 매일 공짜...[웹툰보기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞
8,[알림]2018 대한민국 신약대상에 JW중외제약·피씨엘,2018-09-12 03:12,"[머니투데이 머니투데이  ] [[제6회 대한민국 신약대상]신약연구·기술혁신부문 수상]머니투데이가 주최하고 식품의약품안전처(이하 식약처)가 후원하는 '제6회 대한민국 신약대상'에서 JW중외제약과 피씨엘이 각각 신약연구부문, 기술혁신부문 대상 기업으로 선정됐다. 시상식은 12일 서울시 중구 페럼타워 페럼홀에서 열린다.머니투데이는 2013년 제약·바이오·의료기기 기업을 대상으로 '대한민국 신약대상'을 제정해 매년 업계 성과와 노고를 격려해 왔다. 국민 건강과 산업발전에 기여하는 업체를 발굴·시상해 업계 종사자들의 의욕과 사기를 높이자는 취지에서다.이번 대상은 식약처와 학계, 업계 전문가 등으로 구성된 심사위원단 심사를 거쳐 선정됐다. 위원들은 신약 연구개발 혁신성과 경제성, 사회적 기여도 등을 종합적으로 평가했다.신약연구부문 대상을 수상한 JW중외제약은 아토피 피부염 치료제로 개발 중인 'JW1601'의 혁신성이 높은 평가를 받았다. JW중외제약은 최근 피부질환 영역의 글로벌 리더인 레오파마와 기술수출 계약을 맺었다. JW중외제약은 암세포를 비롯해 암 줄기세포까지 사멸시키는 'Wnt 표적항암제'도 개발 중이다.피씨엘은 3차원 고정화 다중진단 기술인 'SG Cap™' 원천기술로 세계적 기술력을 인정받아 기술혁신부문 대상을 수상했다. 이 기술은 화학반응 없이 단백질과 항체 등 진단 마커를 고정해 진단 정확성을 높이는 데 매우 효과적이다.심사위원장을 맡은 여재천 한국신약개발연구조합 사무국장은 ""국내 제약·바이오 기업들의 탁월한 연구개발 역량과 성과들을 확인할 수 있었다""며 ""JW중외제약과 피씨엘 연구개발과 기술은 세계적 수준""이라고 말했다.머니투데이는 같은 날 '암 정복의 꿈- 면역항암제와 우리의 도전'을 주제로 '제3회 머니투데이 신약포럼 K-Pharm'을 진행한다. 최순규 유한양행 중앙연구소장, 최지원 신라젠 연구소장, 정재호 에이비엘바이오 상무가 각각 강연자로 나선다.▶더 많은 머니투데이 기사보기▶실시간 급상승 ▶'MT리포트'가 새로 발행되었습니다 머니투데이   <저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
9,"[사진]JW중외제약, '신약대상' 신약연구부문 대상 수상",2018-09-12 11:41,"[머니투데이 김창현 기자] 전재광 JW중외제약 대표가 12일 오전 서울 중구 수하동 페럼타워에서 열린 머니투데이 주최 '2018 대한민국 신약대상'에서 신약연구부문 대상을 수상한 뒤 류영진 식품의약품안전처 처장과 기념촬영을 갖고 있다. ▶더 많은 머니투데이 기사보기▶실시간 급상승 ▶'MT리포트'가 새로 발행되었습니다 김창현 기자 chmt@mt.co.kr<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
