,title,date,context
0,"[빅데이터MSI]시장심리 톱5, 삼성전자·대한항공·네이버·영원무역·대웅제약",2018-09-21 08:36,"워스트5,  LG전자·미래에셋대우·현대제철·한화케미칼·한국전력【서울=뉴시스】이국현 기자 = 21일 빅데이터 시장심리지수(MSI)가 가장 높은 '톱5'에 삼성전자(005930), 대한항공(003490), NAVER(035420), 영원무역(111770), 대웅제약(069620)이 선정됐다. 반면 시장심리가 저조한 워스트 5로는 LG전자(066570), 미래에셋대우(006800), 현대제철(004020), 한화케미칼(009830), 한국전력공사(015760)가 뽑혔다. 이는 뉴시스와 코스콤이 주요 상장기업 250곳에 대해 공동 분석해 산출해 낸 빅데이터 MSI(http://m.newsis.com/stock.html, 모바일 전용)로 전 거래일 오후 4시부터 이날 오전 8시까지 데이터를 취합한 결과다.삼성전자 MSI레벨은 전날 6단계에서 7단계로 한 단계 상승했다. 관련 키워드로는 반도체, 순환출자, 보유, 고리, 수요, 이익, 매각, 지배구조, 해소, 스마트폰, 강세 등이 추출됐다. 대한항공 MSI레벨은 이틀 연속 7단계 자리를 지켰다. 국제선, 발생, 둔화, 국면, 공급, 국내선, 항공기, 수익률, 모멘텀, 노선, 장거리, 부담, 신규, 탑승률, 취항 등의 키워드가 상위권에 집계됐다. 네이버 MSI레벨은 전날과 같은 7단계를 나타냈다. 온라인에서는 대만, 모바일, 확보, 공격적, 정보, 저장, 카페, 서비스, 영화, 투자자, 발행, 하이라이트 등이 검출됐다. 영원무역 MSI레벨은 전 거래일과 같은 7단계를 가리켰다. 관련 키워드로는 스캇, 사업부, 환율, 영업환경, 인수합병, 주문자상표부착생산, 중저가, 포인트, 회복, 수익성, 손익, 과정, 사업자, 마진 등이 상위권에 랭크됐다. 대웅제약 MSI레벨은 이틀째 7단계를 지켰다. 우루사, 달성, 보툴리눔, 가치,  한올바이오파마, 치료제, 안구건조증, 기술수출, 선진국, 유럽, 바탕, 방영, 보수적, 본사 등이 온라인에서 추출됐다. 시장심리가 1단계 매우 나쁨으로 저조한 종목에는 LG전자·미래에셋대우·현대제철·한화케미칼·한국전력이 뽑혔다. LG전자 MSI레벨은 이틀째 1단계를 벗어나지 못했다. 온라인에서는 부품, 온라인, 반등, 서비스, 우려감, 채널, 모바일, 부과, 달러, 관세, 고객 개편, 포기, 스마트, 가전, 인수, 하향, 독일, 프리미엄, 패널가격, 건조기 등의 키워드가 추출됐다. 미래에셋대우 MSI 역시 전날과 같은 1단계에 머물렀다. 관련 키워드로는 채용, 거래대금, 면접, 신입사원, 항공기, 국제선, 국내선, 유류비, 취항, 필기전형, 평가, 절차 등이 검출됐다. 현대제철 MSI레벨은 이틀 연속 1단계를 가리켰다. 인상, 노조, 지급, 파업, 합의, 임금협상, 추석, 콘도, 통상임금, 창립기념일, 정규직, 성과금, 당진, 단체협약, 권리정지 등의 키워드가 상위권에 집계됐다. 한화케미칼 MSI 역시 전날과 같은 1단계였다. 태양광, 합병, 보고서, 전환, 복합, 포지셔닝, 웨이퍼, 거래량, 합병가액, 증설, 한화큐셀코리아 등이 관련 키워드로 뽑혔다. 한국전력 MSI레벨은 전날 7단계 매우 좋음에서 1단계로 6계단 추락했다. 거래량, 투자자, 무역분쟁, 하락폭, 연기금, 금융업, 무시, 수급측면 등의 키워드가 시장 심리를 끌어내린 것으로 보인다. MSI는 총 7단계로 나뉜다. 1단계 '매우 나쁨', 2단계 '나쁨', 3단계 '약간 나쁨', 4단계 '보통', 5단계 '약간 좋음', 6단계 '좋음', 7단계 '매우 좋음' 등으로 분류된다. MSI 레벨이 가장 낮은 수준인 1단계에서 가장 높은 수준인 7단계 쪽으로 바뀌면 해당 종목에 대해 온라인상에서의 반응이 부정에서 긍정으로 바뀌고 있다는 뜻으로 풀이할 수 있다. 한편 지난해 8월1일부터 선보인 빅데이터 MSI 모바일 전용 버전은 구글플레이 또는 애플 앱스토어에서 '뉴시스' 앱을 내려받거나 뉴시스 모바일 홈페이지(m.newsis.com)에 접속한 뒤 메인화면의 '빅데이터 MSI'를 클릭해 이용하면 된다.lgh@newsis.com※ 빅데이터MSI는 투자 참고용이며, 투자 결과에 책임을 지지 않습니다. 주식시장에서는 다양한 국내외 변수가 존재하기 때문에 한 지표로만 판단하면 뜻하지 않은 결과를 초래할 수 있습니다.▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
1,"대웅제약, '우루사' 사내 이벤트 진행",2018-09-20 14:29,대웅제약이 진행한 우루사 사내 홍보 이벤트에서 회사 임직원들이 기념촬영을 하고 있다.(사진=대웅제약 제공)[이데일리 강경훈 기자] 대웅제약(069620)은 19일부터 이틀간 서울 강남구 삼성동 대웅제약 본사에서 임직원을 대상으로 ‘우루사 홍보이벤트’를 진행했다고 20일 밝혔다.이번 행사는 지난 10일부터 방영 중인 새 TV 광고 ‘팩트를 보면 우루사’편을 기념해 올해 우루사 매출 400억원 달성을 앞두고 임직원과 함께 응원하기 위해 마련됐다.회사 임직원들은 우루사 부스에 마련된 포토존에서 ‘우루사맨’과 함께 사진을 찍고 우루사 라디오 CM을 자신의 휴대폰 컬러링으로 등록하는 등 이벤트에 적극적으로 참여했다.대웅제약 관계자는 “임상시험에서 입증된 우루사의 간기능개선 및 피로회복 효과를 임직원들에게 정확하게 전달하고 임직원 슈퍼 컨슈머를 발굴해 우루사의 우수성을 더욱 널리 알리고자 이번 이벤트를 기획하게 됐다”며 “58년 전통의 브랜드 가치와 우수한 품질 경쟁력을 바탕으로 올해는 매출 400억원을 꼭 달성할 것”이라고 밝혔다.강경훈 (kwkang@edaily.co.kr)네이버에서 ‘이데일리’ 구독하면 '공기청정기' 드려요~ [구독하기▶]20~30 세대를 위한 꿀팁! 정보 [스냅타임▶]꿀잼 '웹툰'이 매일 매일 공짜...[웹툰보기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞
2,"대웅제약 글로벌 도전 성과…""2020년 세계 50위 진입""",2018-09-20 17:26,"대웅제약 사옥 전경. ⓒ대웅제약대웅제약이 지난 10여년간 글로벌 투자와 해외 법인 운영을 확대하면서 2020년 글로벌 제약사 50위 내 진입하겠다는 목표에 다가서고 있다고 20일 밝혔다. 제약사들은 브랜드 인지도와 대표 제품의 좋은 평판으로 국내 사업 확장은 용이하지만, 해외 진출 경우는 다르다. 해외에서는 창업 초기 스타트업과 다를 바 없는 구조에 놓이기 때문에 사업 투자 및 계획 구축이 매우 중요하다. 또 제약업은 대표적인 규제 산업으로 허가나 승인 절차가 까다롭기 때문에 실제 유의미한 매출을 거두기까지는 꾸준한 투자와 오랜 시간이 필요하다.대웅제약 측은 지난해 해외 수출액이 1037억원으로, 역대 최초로 수출 1000억원을 돌파했다고 설명했다. 이는 기업 인지도가 낮은 해외에서 거둔 결실로, 지난 14년간 해외 현지 고객을 대상으로 진행한 새로운 제품개발 및 서비스의 미래가치를 인정받은 성과라는 설명이다. 또 2014년 4%대에 불과하던 수출 비중이 2017년 12%로 증가세를 보이며, 향후 나보타 등 주요 품목의 선진국 시장 진출 전망도 밝아 해외 매출이 크게 증가할 것으로 예측했다.제약·바이오 시장은 국가마다 각종 규제와 자국기업 보호로 진입장벽이 높은 시장임에도 불구하고 대웅제약은 빠른 진출 속도를 보이고 있다. 현재 국내 제약사 중 가장 많은 해외 법인(8곳)을 보유해 글로벌 네트워크를 강화하고 있다. 중국과 인도네시아에 의약품 생산공장이, 의약품 선진국인 미국에는 지사가 설립돼 있다. 각 국가의 규제와 시장상황, 특징 등을 고려해 진출 전략을 펼치고 있는 것이 성과로 이어지고 있다.대웅제약은 최근 베트남 현지 최대 제약사로 꼽히는 트라파코사에 지분을 인수하고 사업 운영에 참여한다고 밝혔다. 대웅제약은 현재 자사 제품을 트라파코 내 신공장에서 생산하기 위해 기술이전을 준비 중이며, 트라파코는 대웅 제품의 영업, 마케팅 조직을 신설해 적극 판매·유통할 예정이다. 세계 최대 이슬람 국가인 인도네시아에서는 최초의 바이오의약품 공장인 조인트벤처 ‘대웅인피온’을 세우고 연구, 생산 및 영업과 마케팅까지 직접 운영할 수 있는 기반을 다졌다. 대웅제약은 향후 100조원 이상으로 성장할 것으로 예측되는 중국시장에서도 영역을 넓히고 있다. 우루사를 시작으로 베아제, 뉴란타 등을 발매, 중국에서 대웅제약의 소화기 트로이카 라인업을 구축했으며, 이를 발판 삼아 향후 20개 제품의 등록 및 판매를 준비 중이다. 대웅제약의 대표 성장동력으로 손꼽히는 보툴리눔 톡신 제재 나보타는 2014년 한국에서의 첫 발매된 이후 미국, 캐나다, 유럽, 중남미, 러시아, 중동, 브라질 등 약 80개국에서 판매 계약을 체결했다. 미국 판매승인을 취득한 후 2020년까지 100개국 이상의 수출 라인을 확보하는 것이 목표다. 대웅제약은 글로벌 연구조직 네트워크를 구축하는 데도 힘쓰고 있다. 용인에 위치한 대웅제약 생명과학연구소를 주축으로 중국, 인도, 미국, 인도네시아 등 5개국 연구진이 참여하는 연구개발(R&D) 위원회를 격주로 연다. 신약 개발 역량 강화를 위해 회의를 통해 진행 과정을 공유하고 함께 논의하며 R&D 혁신을 통한 미래 성장동력 확장에 박차를 가하고 있다.대웅제약은 연구조직 운영과 꾸준히 진행해온 해외 인프라 구축과 현지 밀착형 마케팅을 통해 흑자전환으로 돌아서는 사업구조로 개편되고 있다며, 해외 진출 기반을 정비하고 매출 성장을 견인해 2020년 글로벌 50위 제약사 진입을 달성하겠다고 강조했다. 전승호 대웅제약 대표는 “지난 10여년간 추진해왔던 글로벌 사업의 성장이 가시화 되고 있으며, 해외법인별 손익도 매년 개선되는 등 해외 수출에 탄력을 받고 있다”며 “앞으로 해외 법인의 성장과 자생적 운영을 위해 현지의 우수한 인재를 선발, 육성하고, 현지 제약기업 들과의 적극적인 협업을 통해 글로벌 사업을 확대하는데 집중할 계획이다”고 전했다. 데일리안 손현진 기자 (sonson@dailian.co.kr)ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지"
3,"[ET투자뉴스]대웅제약, ""돋보일 이익 증가와…"" BUY-삼성증권",2018-09-20 09:34,"삼성증권에서 19일 대웅제약(069620)에 대해 ""돋보일 이익 증가와 자회사 가치 상승""라며 투자의견을 'BUY'로 제시하였고, 아울러 목표주가로는 230,000원을 내놓았다. 삼성증권 박원용 애널리스트가 동종목에 대하여 이번에 제시한 'BUY'의견은 삼성증권의 직전 매매의견에서 큰 변화없이 그대로 유지되는 것이고  올해 초반의 시장컨센서스에 비추어 본다면 '매수'의견에서 'BUY로' 상향조정된 것이다. 그리고 최근 분기내 발표된 전체 증권사 리포트의 컨센서스와 비교를 해볼 경우에 오늘 발표된 투자의견은 전체의견에 수렴하고 있어, 이번 의견은 시장의 평균적인 기대감이 객관적으로 표현된 것으로 분석되고 있다. 또한 전일 종가 기준으로 볼때 동종목의 현주가는 이번에 제시된 목표가 대비 20.1%의 저평가 요인이 존재한다는 해석이 제시되고 있다. ◆ Report briefing삼성증권에서 대웅제약(069620)에 대해 ""대웅제약이 생산하고 선진국 마케팅파트너사인 에볼루스(Evolus)가 판매할 보툴리눔톡신 나보타 (Nabota)가 2019년 2분기 한국 보툴리눔톡신제품 중 최초 미국과 유럽 출시 예상. 기존 대웅제약의 영업이익률이 평균 6-7% 수준에 머무른 반면, 나보타의 평균 공헌이익률은 80% 이상으로 예상되어 나보타 매출 비중 증가에 따른 전사 이익률 개선이 본격적으로 시작될 것""라고 분석했다.  또한 삼성증권에서 ""대웅제약은 한올바이오파마의 지분 30%를 보유하고 있을 뿐만 아니라 안구건조증 치료제 HL036 등 신약 파이프라인을 공동 개발 중. 현재 미국에서 임상 2상을 완료하였고 안구건조증 치료제 시장의 미충족수요 (unmet need)가 큰 만큼 4분기 결과 발표 이후에 해외 제약사 대상 기술수출 기대""라고 밝혔다.  한편 ""당사는 현 주가가 1)2019년부터 나보타가이끌 실적 상승 모멘텀과 2) 자회사 한올바이오파마의 기술수출과 및 임상 진행에 따른 지분가치 상승 가능성에 기반하여 BUY 투자의견 제시""라고 전망했다. ◆ Report statistics증권정보제공 업체인 씽크풀에 따르면 동사에 대한 컨센서스는 '매수'이고 목표주가는 최근 2회연속 목표가가 높아지가 이번에는 직전보다 소폭 낮은 수준으로 하향반전되는 추세이다. <컨센서스 하이라이트>?컨센서스최고최저투자의견매수BUY(유지)HOLD(유지)목표주가239,000270,000180,000*최근 분기기준오늘 삼성증권에서 발표된 'BUY'의견 및 목표주가 230,000원은 전체의견에 수렴하면서 시장의 평균적인 기대감이 비교적 객관적으로 표현된 것으로 풀이되며 목표가평균 대비 3.8%정도 미달하고 있는 것으로 집계되었다.  참고로 최근에 목표주가를 가장 공격적으로 제시한 이베스트투자증권에서 투자의견 'BUY(MAINTAIN)'에 목표주가 270,000원을 제일 보수적인 의견을 제시한 DB금융투자에서 투자의견 'HOLD(유지)'에 목표주가 180,000원을 제시한 바 있다. <삼성증권 투자의견 추이>?의견제시일자투자의견목표가격20180919BUY230,000<최근 리포트 동향>의견제시일자증권사투자의견목표가20180919삼성증권BUY230,00020180820NH투자증권BUY(유지)270,00020180807DB금융투자HOLD(유지)180,00020180807이베스트투자증권BUY(MAINTAIN)270,000(씽크풀에서 제공하는 컨센서스는 국내 전증권사에서 발표되는 기업분석 리포트 및 코멘트를 실시간으로 통계/분석처리되고 있습니다.)증시분석 전문기자 로봇 ET etbot@etnews.com전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
4,[한가위 부모님 건강 챙기세요] 대웅제약 '임팩타민' 면역력에 신진대사까지···구내염 개선도,2018-09-17 17:36,"[서울경제] 추석 연휴에는 장시간 운전과 가사노동으로 체내 에너지·면역항체 생성 등 다양한 신진대사 활동에 관여하는 비타민B군이 많이 소모되기 마련이다. 이로 인해 신진대사율과 체력이 떨어지고 피로감을 느끼기 쉽다. 하지만 비타민B군은 10여가지의 성분으로 구성돼 있어 식사만으로는 필요량을 충분히 섭취하기 어렵다. 따라서 비타민B 복합제로 보충해줄 필요가 있다.대웅제약의 고활성·고함량 비타민B 복합제 ‘임팩타민’ 6종은 연령·증상에 따라 적합한 제품을 맞춤형으로 선택할 수 있다. 비타민B1은 신경통·관절통, 눈의 피로 완화에, B2는 구내염·구순염 완화에, B5는 정상적인 면역 반응과 에너지 생성에, B6는 신경전달물질·면역항체 생성에, B7은 지방·탄수화물·단백질 대사와 에너지 생성에, B12는 혈액 생산을 도와 체력 유지, 스트레스 완화 효과가 있다. 특히 활성형 비타민B1인 벤포티아민은 생체이용률이 티아민의 8배나 돼 효과가 빠르다. ‘임팩타민 프리미엄’은 고함량 비타민 B군 10여종에 비타민C·E, 셀레늄 등 항산화 성분을 추가해 피로 회복은 물론 눈의 피로, 어깨결림, 구내염 등의 개선에 도움을 준다. ‘임팩타민 파워A+’는 뇌 기능 개선과 집중력 향상에 도움을 주는 콜린·이노시톨을 추가했다. 칼슘·마그네슘의 최적 배합, 비타민A·D 함유로 뼈·눈 건강에도 좋다. ‘임팩타민 실버’는 활성형 비타민B 10종 외에도 눈·뼈 건강, 혈행 개선에 도움을 주는 비타민A·D·E와 칼슘·마그네슘, 항산화 작용을 하는 구리·셀레늄 등 총 21종의 성분이 함유됐다. ‘임팩타민 케어’는 벤포티아민 등 필수비타민B 8종과 혈관 석회화를 억제하고 인슐린 저항성을 개선하는 비타민K가 포함돼 있다. 대사질환 예방·관리에 도움이 되는 비타민 B6·B9·B12가 국내 일반의약품 중 최대 함량으로 담겨 있다.  /임웅재기자 jaelim@sedaily.com[서울경제 바로가기]프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]블록체인의 모든 것, 서울경제 Decenter [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
5,"[추석 선물] 대웅제약, 간 해독작용 강화에 효과…장기간 복용해도 내성없어",2018-09-13 04:02,"`우루사` 고마운 마음을 표현하는 명절 선물로 많이 찾는 것이 건강과 관련된 제품이다. 이중 대웅제약의 '우루사'는 오랫동안 사랑을 받아왔다.우루사는 우리에게 간 기능 개선을 돕는 대표적인 제품으로 인식돼 있다. 우루사에 들어 있는 성분이 바로 '우르소데옥시콜산(UDCA·Ursodeoxycholic acid)'이다. UDCA는 1957년 일본에서 이담제(담즙분비 촉진제)로 소개된 이래 수십 년간 그 효과를 인정받으며 간 기능 개선 성분으로 활용돼 왔다. 간은 각종 영양소의 합성은 물론 몸속으로 유입된 독소와 노폐물 해독 등을 담당하는 기관이다. 알코올을 포함한 각종 음식물은 물론, 생활 속에서 체내로 침투 가능한 일부 생활 독소에 이르기까지 우리 몸에 침투한 독소와 노폐물을 75% 이상 해독하고 다양한 물질을 처리하는 탓에 '몸속 화학 공장'이라는 별칭까지 붙어 있을 정도다. 이뿐만 아니라 간은 중요한 면역기관 중 하나이기도 하다. 세균이 몸에 들어오면 간을 거치는 살균 작용을 통해 약 1% 미만의 세균만 간을 통과할 수 있게 함으로써 면역체계에도 영향을 미친다. 체내로 유입된 독소물질은 간에서 대사를 거쳐 소변 등을 통해 배출되기 쉬운 형태가 되며 배설수송체를 통해 간 밖으로 배설된다. 이때 우리 몸에 이로운 무독성 담즙산인 UDCA는 간 대사 활성화를 돕고 배설수송체를 증가시키는 역할을 한다. 이를 통해 독소 및 노폐물을 보다 원활하게 배출되도록 해 결과적으로 간의 해독작용을 돕는다. 또 간으로 콜레스테롤이 유입되는 것을 막고, 담즙산 생성을 통해 간 내 콜레스테롤 배설을 원활하게 하는 등 총 콜레스테롤 감소에도 영향을 미친다.이 밖에 UDCA는 항산화 효과뿐만 아니라 독성 담즙산으로 인한 세포괴사 등으로부터 간 세포를 보호하며, 담즙이 원활하게 배출되지 못해 발생하는 담즙 울체성 간질환 개선에도 효과가 있다. 음주로 인해 체내에 생긴 유해한 에탄올과 대사체인 아세트알데히드로부터 간이 손상되는 것을 예방하는 데에도 도움을 준다. UDCA는 인체에서 담즙산이 장과 간을 거쳐 순환하는 과정에서 자연적으로 생성되는데 그 비율이 총 담즙산의 약 3%밖에 되지 않아 외부로부터 꾸준히 섭취하면 체내 UDCA 비율을 높일 수 있다.우루사는 UDCA를 주성분으로 하는 57년 전통의 국내 판매 1위 간 기능 개선제로 UDCA 성분과 함께 피로회복에 도움이 되는 비타민 B1·B2를 함유하고 있어 만성 간질환의 간 기능 개선, 간 기능 저하로 인한 전신권태, 육체피로 등을 해소하는 데 도움을 준다. 우루사는 장기간 복용해도 내성이 없다. 간은 우리 몸의 전체적인 신진대사에서 기능적으로 중요한 역할을 담당하는 만큼 간 기능이 손상돼도 다시 정상적으로 기능을 가동시킬 수 있는 '예비 기능'이 충분히 비축돼 있는 것이 특징이다. 그런데 정작 이러한 '예비 기능' 특성 탓에 간 세포가 서서히 파괴되고 간 기능이 절반 이하로 저하되더라도 통증이나 불편감 등 특별한 증상이 나타나지 않는다. 간 손상은 대개 간 질환으로 연결되며 심각한 문제로 이어진다. 따라서 우연히 건강검진에서 혈액, 초음파 등을 통해 간 검사를 받은 후 간 기능 저하로 간 질환 진단을 받는 경우가 가장 흔하다. 평소에 주기적으로 간 검사를 받고 미리 건강을 챙겨야 하는 이유다. [이덕주 기자]▶뉴스 이상의 무궁무진한 프리미엄 읽을거리 ▶아나운서가 직접 읽어주는 오늘의 주요 뉴스[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
6,[레이더M] 오너막말 파동에 대웅제약 M&A 급제동,2018-09-06 13:30,"IB업계 ＂가격도 중요하지만 오너 리스크 무시못해＂[본 기사는 09월 4일(09:08) '레이더M'에 보도 된 기사입니다]기업 오너 등의 막말·갑질 논란이 M&A(인수·합병)에 걸림돌로 급부상하고 있다. M&A 과정에서 최대 변수는 뭐니뭐니 해도 '가격'이었다. 그러나 최근 들어선 갑질 논란 등 오너 리스크 또한 무시  할 변수로 떠올랐다는게 시장 관계자들 전언이다.투자은행(IB)업계 한 관계자는 4일 ＂막말·갑질 논란이 기업 경영권 자체를 흔들정도로 사회적으로 상당히 민감한 이슈로 부각됐다＂며 ＂이로 인해 인수 희망 사이드에서 오너 리스크가 터지면 아무리 좋은 가격을 제시했어도 매도 사이드에서 매물을 거둬들일 수밖에 없다＂고 말했다.이 관계자는 이어 ＂현재 국내 사회적인 분위기로는 오너 갑질이 곧 사임이나 그룹 지배구조 전체 변화까지 유도하는 등 사업 추진에 큰 제동이 된다＂며 ＂또한 기업 이미지가 중요하기 때문에 일련의 사태로 불똥이 튀는 것을 극도로 꺼려하기 때문＂이라고 설명했다.일례로 해외시장 확장에 힘을 쏟고 있는 대웅제약의 경우 윤재승 회장의 막말 논란 이후 M&A가 급제동된 분위기다. 최근 대웅제약은 북미 지역 제약사 인수전에서 고배를 마신 바 있다. 업계 관계자는 ＂윤 회장이 경영 일선에서 물러난 가운데 해외 M&A 추진도 힘을 잃었다＂고 전했다.그간 대웅제약은 국내를 넘어 중국 등 아시아 권역은 물론 해외 시장 확대에 상당한 공을 들여왔다. 대웅제약은 지난 2013년 중국 바이펑유한공사를 인수했고, 이듬해인 2014년 인도네시아 현지 제약사와 조인트벤처를 설립했다. 이어 작년엔 베트남 현지 2대 제약사인 트라파코 지분 일수를 인수한 바 있다. 현재 대웅제약의 해외법인 수는 총 8곳으로 국내 제약사 가운데 가장 많다.롯데그룹의 경우엔 오너 갑질과는 무관하나, 오너 부재 리스크가 크게 작용하면서 해외 빅딜 작업이 지지부진한 상태다. IB업계 관계자는 ＂M&A에 있어 동원할 수 있는 자금력 외에도 대표나 오너의 의사 판단이 무엇보다 중요하게 작용한다＂며 ＂만약 오너가 흔들리는 상황이 발생하면 딜 자체가 완주하기 어렵다＂고 전했다. [고민서 기자]▶뉴스 이상의 무궁무진한 프리미엄 읽을거리 ▶아나운서가 직접 읽어주는 오늘의 주요 뉴스[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
7,"대웅제약, 나보타 캐나다를 시작으로 미국으로 확대 예상-케이프證",2018-09-06 08:12,"[머니투데이 오정은 기자] 케이프투자증권은 6일 대웅제약에 대해 보툴리눔 톡신 제제 나보타의 캐나다 판매가 4분기부터 시작되는 가운데 미국에서도 내년 1분기 중 허가 획득을 예상했다. 나보타의 미국 진출가능성이 높아진 시점이라며 투자의견 매수를 유지하고 목표주가는 23만원으로 상향 조정했다. 김형수 케이프투자증권 연구원은 ""8월17일 캐나다에서 나보타 품목허가를 획득했으며 4분기부터 출시 예상된다""며 ""4분기부터 캐나다 매출이 발생할 예정이고 미국은 내년 1분기 중 허가 획득이 전망된다""고 말했다. 미국 FDA는 처방의약품신청자 수수료법에 따라 내년 2월2일까지 심사과정을 마치고 최종허가 여부를 결정할 것으로 전망했다. 이어 ""미국에서 판매 중인 보툴리눔 톡신 제제 3가지 중 나보타는 분자량이 엘러간의 보톡스와 동일해, 보톡스와 동일하게 시술 및 처방이 가능해 경쟁제품 대비 편의성이 높다""고 설명했다. ▶더 많은 머니투데이 기사보기▶실시간 급상승 ▶'MT리포트'가 새로 발행되었습니다 오정은 기자 agentlittle@mt.co.kr<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
8,"[I-리포트] 대웅제약, '나보타' 경쟁제품 대비 가격우위-케이프證",2018-09-06 07:47,"<아이뉴스24>[아이뉴스24 김다운 기자] 케이프투자증권은 6일 대웅제약에 대해 '나보타'가 캐나다와 미국에서 판매를 시작하면 가격 경쟁력을 가질 수 수 있을 것이라고 분석했다. 목표주가는 21만원에서 23만원으로 상향하고 '매수' 의견을 유지했다.대웅제약은 지난 8월17일 캐나다 연방보건부로부터 보툴리눔톡신 제제 나보타의 품목허가를 획득했고 올 4분기부터 출시가 예상된다. 미국에는 지난 5월 식품의약국(FDA)으로부터 수령한 최종보완요구공문(CRL)에 따라 허가보완자료를 8월2일에 제출했다. FDA는 처방의약품 신청자 수수료법(PDUFA)에 따라 2019년 2월2일까지 심사과정을 마치고 최종허가 여부를 결정할 것으로 전망된다.김형수 케이프투자증권 애널리스트는 ""미국에서 보툴리눔톡신 제제는 엘러간 사의 '보톡스'를 비롯해 3가지가 파매중""이라며 ""분자량이 상이해서 각 제품별로 사용법이 다르다""고 전했다.그는 ""나보타는 900kD의 분자량으로 엘러간사의 '보톡스'와 동일하게 시술, 처방이 가능해 경쟁제품 대비 비교우위를 가질 것""이라고 진단했다./김다운기자 kdw@inews24.com▶네이버 채널에서 '아이뉴스24'를 구독해주세요.▶아이뉴스TV에서 부동산 고수를 만나보세요.[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
9,"대웅제약, 나보타 美 진출 가능성 고조..목표가↑-케이프",2018-09-06 08:51,"[이데일리 김재은 기자] 케이프투자증권은 6일 대웅제약(069620)에 대해 나보타의 미국 진출 가능성이 높아졌다며 목표주가를 21만원에서 23만원으로 상향조정했다. 투자의견 매수 유지. 김형수 케이프증권 연구원은 “지난 8월 대웅제약이 개발한 나보타(보툴리눔톡신제제)는 캐나다 품목허가를 획득했고, 미국 FDA에 허가보완자료를 제출했다”며 “4분기부터 캐나다 매출이 발생할 예정이고, 미국은 내년 1분기중 허가 획득이 전망된다”고 밝혔다. 그는 “미국에서 보툴리눔톡신 제제는 3가지가 판매중인데, 분자량이 상이해 각 제품별로 사용법이 다르다”며 “나보타는 900kD 분자량으로 보톡스와 동일하게 시술, 처방이 가능해 경쟁제품대비 편의성이 높다”고 설명했다.김재은 (aladin@edaily.co.kr)취준생을 위한 알짜 정보가 가득 [스냅타임▶]네이버 홈에서 ‘이데일리’ [구독하기▶]꿀잼 '웹툰'이 매일 공짜...[웹툰보기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
