,title,date,context
0,"""부광약품, 신약후보물질 가치 상승…투자 유망""-골든브릿지",2018-09-20 08:53,"[ 한민수 기자  ] 골든브릿지투자증권은 20일 부광약품에 대해 장기적인 관점에서 투자가 유망하다고 평가했다. 투자의견과 목표주가는 제시하지 않았다. 하태기 연구원은 ""부광약품은 제약 사업을 통해 현금을 창출하면서 연구개발을 지속하고 있다""며 ""시간이 경과할수록 신약 개발과 관련된 다양한 투자와 가치가 상승할 것""이라고 전망했다. 올 3분기에는 리보세라닙 권리 매각이익 400억원이 반영된다. 매출은 전년 동기 대비 110.8% 증가한 809억원, 영업이익은 925.6% 늘어난 380억원이 될 것으로 추정했다. 연구개발로 부가가치가 높은 이익을 창출하고 있다는 설명이다. 부광약품은 또 당뇨병 치료제 MLR-1023, 이상운동 치료제 JM-010, 전립선암치료제 SOL-804 등을 보유하고 있다. MLR-1023은 미국과 한국에서 임상 2b상을 진행 중이다. 연말이나 내년 초 주요 결과를 확인할 수 있을 것으로 봤다. 하 연구원은 ""글로벌 임상 3상은 대규모 자금이 필요하기 때문에 다국적사로의 기술수출을 통해 MLR-1023이 개발될 것""이라며 ""이런 전략이 상품화 이후에도 시장점유율을 높일 수 있을 것으로 추정된다""고 했다. JM-010은 올 하반기 미국과 유럽에서 임상 2상이 진행될 것으로 예상했다. SOL-804는 내년 임상 1상 진입을 전망했다.   한민수 한경닷컴 기자 hms@hankyung.com[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
1,"부광약품, 자산 재평가로 토지자산 601억 증가",2018-09-06 16:54,"[아시아경제 조유진 기자] 부광약품은 자산 재평가 결과 서울 동작구 대방동, 경기도 안산시 목내동 토지 가액이 751억원으로 평가됐다고 6일 공시했다.이에 따라 기존 장부가액(150억원) 대비 토지 자산이 601억원 증가했다고 회사 측은 설명했다.조유진 기자 tint@asiae.co.kr▶ 네이버 홈에서 '아시아경제' 뉴스 확인하기▶ 재미와 신기 '과학을읽다' ▶ 놀라운 '군사이야기'<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
2,"부광약품, 서울 본사·안산 공장 자산재평가 실시",2018-09-06 17:24,"[이데일리 남궁민관 기자] 부광약품(003000)은 서울시 동작구 상도로7(대방동) 본사 및 연구소, 경기도 안산시 단원구 능안로 47(목내동) 공장 등에 대한 자산재평가를 실시한 결과 기존 149억6823만원에서 751억1495만원으로 재평가 됐다고 6일 공시했다.남궁민관 (kunggija@edaily.co.kr)네이버에서 ‘이데일리’ 구독하면 '공기청정기' 드려요~ [구독하기▶]20~30 세대를 위한 꿀팁! 정보 [스냅타임▶]꿀잼 '웹툰'이 매일 매일 공짜...[웹툰보기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
3,"부광약품, 토지 재평가로 601억원 차액 발생",2018-09-06 17:06,"(서울=연합뉴스) 전명훈 기자 = 부광약품은 서울 동작구 대방동의 본사·연구소, 경기도 안산 단원구의 공장 등의 토지에 대해 자산 재평가를 시행한 결과 601억원의 재평가 차액이 발생했다고 6일 공시했다.    회사 측은 이연 법인세 부채 132억원을 제외한 469억원이 자산 총액에 더해질 예정이라고 설명했다. id@yna.co.kr▶뭐하고 놀까? '#흥'   ▶뉴스가 보여요 - 연합뉴스 유튜브 ▶네이버 홈에서 [연합뉴스] 채널 구독하기"
4,"부광약품, 본사·안산공장 자산재평가 149억→751억원",2018-09-06 17:31,"[서울경제] 부광약품(003000)은 서울시 동작구 상도로7(대방동) 본사 및 연구소, 경기도 안산시 단원구 능안로 47(목내동) 공장 등에 대한 자산재평가를 실시한 결과 기존 149억6,823만원에서 751억1,495만원으로 재평가 됐다고 6일 공시했다./김보리기자 boris@sedaily.com[서울경제 바로가기]프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]블록체인의 모든 것, 서울경제 Decenter [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
5,"[ET투자뉴스][안트로젠 지분 변동] 부광약품(주) 외 1명 -3.07%p 감소, 18.71% 보유",2018-09-06 15:51,"안트로젠(065660)은 06일 최대주주 부광약품(주)를  비롯한 특별관계자의 보유주식이 감소되었다고 발표했다. 이는 직전 보고일보다 243,836주 감소하여 지분율은 18.71%로 하락했다. 이번 보고 사유는 장내매도에 따른 변동으로  알려졌다.  최대주주와 특수관계자의 지분 변동은 주가에 영향을 주는 요인이다. 특히 보유비율을 지속적으로 늘리거나 줄일 경우, 해당종목 투자시 유의할 필요가 있다.  다음은 안트로젠의 지분 변동 내역과 보유 내역이다. 증시분석 전문기자 로봇 ET etbot@etnews.com전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다▶ 금융분야 마이데이터 활용 사례 및 비즈니스 적용방안▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
6,"부광약품, 5거래일 연속 상승... 전일 대비 3% 상승",2018-08-29 14:02,"[한국경제TV 라이온봇 기자][그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률부광약품은 현재 5거래일 연속 상승세를 기록하고 있어 주목할 만하다. 부광약품은 8월 29일 14시 1분 전일 대비 약 3% 상승한 25,350원에 거래되고 있다. 부광약품은 코스피 상장 기업으로 의약품 업종에 속해 있다. 시가총액은 1조2,070억원으로 코스피 상장기업 중 151위에 위치 해 있다.[종목 성향 진단][그림 2] 종목 성향 진단부광약품의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 9.29%, 3개월 수익률은 -14.97%, 6개월 수익률은 3.56%를 기록했다.부광약품 종목에 대한 투자자의 관심도는 높은 편에 속한다.[투자 점수 진단][그림 3] 투자 점수 진단부광약품은 어느 측면에서 투자 매력도가 높은 종목일까?AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.  그 결과 부광약품은 상대적으로 재무안정성 측면에서 두각을 드러내고 있었다.재무안정성 점수는 기업의 재무 구조가 얼마나 안정적인 상태인지를 나타낸다.부광약품은 특히 부채비율 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 212위를 기록하며 상위 10.5%에 위치했다. 업종별로는 42위를 기록하며 상위 18.98%에 위치했다.그러나 기업 가치 대비 주가 수준을 나타내는 저평가 측면에서는 아쉬움을 나타냈다.(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
7,"[공시]부광약품, 안트로젠 주식 408억원어치 양도 결정",2018-08-24 17:52,"부광약품은 안트로젠의 주식 40만주를 시간외 대량매매와 장내거래 방식으로 408억원에 양도하기로 했다고 24일 공시했다.  양도 후 지분비율은 15.09%다.  회사 측은 양도 목적을 ""투자자금 회수를 통한 수익실현""이라고 밝혔다.   ggg@fnnews.com 강구귀 기자   ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
8,"부광약품, 안트로젠 주식 408억원어치 양도 결정",2018-08-24 17:37,"(서울=연합뉴스) 김아람 기자 = 부광약품은 안트로젠의 주식 40만주를 시간외 대량매매와 장내거래 방식으로 408억원에 양도하기로 했다고 24일 공시했다.    양도 후 지분비율은 15.09%다.    회사 측은 양도 목적을 ""투자자금 회수를 통한 수익실현""이라고 밝혔다. rice@yna.co.kr▶태풍 제보는 여기로   ▶퀴즈풀고 상품받고! 뉴스퀴즈쇼 '뉴나'▶네이버 홈에서 [연합뉴스] 채널 구독하기"
9,"부광약품, 안트로젠 주식 40만주 408억원에 양도",2018-08-24 18:15,"[아시아경제 박민규 기자] 부광약품은 자회사인 안트로젠 주식 40만주를 408억원에 양도하기로 했다고 24일 공시했다. 양도 목적은 투자자금 회수를 통한 수익 실현이다. 이번 양도로 부광약품의 안트로젠 지분율은 기존 20.1%에서 15.09%로 내려간다. 양도 대상은 밝히지 않았다.박민규 기자 yushin@asiae.co.kr▶ 네이버 홈에서 '아시아경제' 뉴스 확인하기▶ 재미와 신기 '과학을읽다' ▶ 놀라운 '군사이야기'<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
