,title,date,context
0,"[한경로보뉴스] '영진약품' 5% 이상 상승, 주가 상승세, 단기 이평선 역배열 구간",2018-09-20 10:24,"20일 오전 10시 19분 현재 영진약품은 전 거래일보다 5.05% 오른 8,120원에 거래되고 있다. 주가의 흐름을 살펴보면 7,750원으로 개장해서 장중 한때 7,720원(-0.13%)까지 소폭 밀렸다가 다시 8,130원(+5.17%)까지 상승 반전한 후, 현재는 8,120원(+5.05%)에서 머물면서 장중에 많이 상승한 모습이다.◆ 차트 분석- 주가 상승세, 단기 이평선 역배열 구간추세선으로 보면 단기 이평선이 역배열을 만들며 조정을 받다가 다시 상승으로 돌아선 모습이다.최근 이 종목의 차트에서 최근 60일 매물대 돌파, 주가 5MA 상향돌파 등의 특이사항이 발생했다.[그래프]영진약품 차트 분석◆ Valuation- 전일 종가 기준 PER 마이너스, PBR 12.0배, 고PBR당기순이익 적자로 인해 이 종목의 PER는 마이너스이고, PBR은 12.0배이다. PER는 마이너스라서 의약품업종의 평균 PER 42.1배 대비 -616.8배 낮은 수준이고, PBR은 의약품업종의 평균 PBR 4.0배 대비 +8.0배 높은 수준으로 업종 내에서 상위 13%에 위치한다.이 종목은 코스피 전체에서 PBR이 상위 1%에 랭킹되고 있다. [표]영진약품 Valuation한경로보뉴스이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.  - 기사오류문의 02-3277-9940[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
1,"영진약품, 감사위원 선임 부결",2018-09-12 16:47,"영진약품은 임시주주총회 결과 사외이사인 감사위원 선임이 의결정족수 미달로 부결됐다고 12일 공시했다.김철현 기자 kch@asiae.co.kr▶ 네이버 홈에서 '아시아경제' 뉴스 확인하기▶ 재미와 신기 '과학을읽다' ▶ 놀라운 '군사이야기'<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
2,"영진약품, 영진바이오 산업단지 조성 착공식 진행",2018-09-06 10:53,"영진약품 이재준 사장(왼쪽 여섯번째)이 지난 5일 경기도 화성시 영진바이오 산업단지 조성 착공식을 진행한 후 기념촬영을 하고 있다.     영진약품은 지난 5일 경기도 화성시 영진바이오 일반산업단지(4만5177㎡) 내에서 산업단지 조성 착공식을 진행했다고 6일 밝혔다.  이 회사는 국내 및 해외시장에서의 경쟁력을 확보하기 위해 공장의 산업단지 조성을 진행했으며 향후 산업단지 내에 생산시설들이 확충되면 글로벌 제조경쟁력을 갖추게 될 것으로 분석했다.  이재준 사장은 ""영진약품이 이번 영진바이오 일반산업단지 조성을 통해 앞으로 우리나라 제약·바이오산업을 선도해 나아갈 것""이라며 ""지역경제 활성화 및 고용창출에도 기여할 것""이라고 말했다.  영진약품은 지난 2010년 이후 해외수출이 급성장해 국내 제약사 중 전체 매출대비 수출액 비중이 높은 회사로도 꼽힌다.  한편, 착공식에는 이재준 영진약품 사장을 비롯해 오진택 경기도의원, 화성시청 성흥모 과장, 성도ENG 이언웅 사장, 알트플러스 안호경 사장 등이 참석했다. pompom@fnnews.com 정명진 기자   ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
3,"영진약품, 9월 12일 임시 주주총회 개최",2018-08-27 12:02,[이데일리 강경훈 기자] 영진약품(003520)은 9월 12일 오전 10시 서울 송파구 국민연금공단 송파지사 7층 대회의실에서 임시 주주총회를 연다고 27일 공시했다.강경훈 (kwkang@edaily.co.kr)취준생을 위한 알짜 정보가 가득 [스냅타임▶]네이버 홈에서 ‘이데일리’ [구독하기▶]꿀잼 '웹툰'이 매일 공짜...[웹툰보기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞
4,"영진약품, 日 APIC에 150억 규모 '록소프로펜' 원료약 공급",2018-08-01 17:53,"? News1(서울=뉴스1) 이영성 기자 = 국내 제약기업 영진약품은 일본 제약사 APIC에 5년간 148억원 규모로 비스테로이드성 항염증약 '록소프로펜'의 원료의약품을 공급하는 계약을 했다고 1일 공시했다. 이번 계약에 따라 영진약품은 APIC에 2023년 7월 31일까지 '록소프로펜' 원료의약품을 생산·공급하며, APIC은 이를 수입해 판매한다. 계약 연장은 양사의 서면 통보가 없다면 1년씩 자동 연장된다.lys@news1.kr▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ [페이스북] 바로가기![? 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
5,"영진약품, 147억6천만원 규모 제품 공급계약",2018-08-01 10:54,"(서울=연합뉴스) 유현민 기자 = 영진약품은 일본 에이피아이(API Corporation)와 147억6천만원 규모의 제품(Loxoprofen Na Hydrate) 공급계약을 맺었다고 1일 공시했다.     이는 작년 매출의 7.5%에 해당한다.    계약 기간은 2023년 7월 31일까지이며, 양사의 서면 통보가 없으면 1년씩 자동 연장된다. hyunmin623@yna.co.kr▶놓치면 아쉬운 '핫뉴스'  ▶퀴즈풀고 상품받고! 뉴스퀴즈쇼 '뉴나'▶네이버 홈에서 [연합뉴스] 채널 구독하기"
6,"영진약품, 147.6억원 규모 공급 계약 체결",2018-08-01 10:50,"[머니투데이 오정은 기자] 영진약품은 1일 API 코퍼레이션에 147억6000만원 규모 Loxoprofen Na Hydrate(제품) 공급 계약을 체결했다고 공시했다. 지난해 매출액 대비 7.5%에 해당되는 규모다. ▶더 많은 머니투데이 기사보기▶실시간 급상승 기사 ▶'MT리포트'가 새로 발행되었습니다 오정은 기자 agentlittle@mt.co.kr<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
7,"영진약품, 147억 판매·공급계약 체결… 매출액 대비 7.5% 정도",2018-08-01 10:54,"[이데일리 권오석 기자] 영진약품(003520)이 API Corporation과 147억 6000만원 상당의 판매·공급계약을 맺었다고 1일 공시했다. 계약 내용은 Loxoprofen Na Hydrate(제품) 공급이다. 이는 최근 매출액 대비 7.5% 상당이다. 회사 관계자는 “영진은 APIC사에 제품의 제조·공급·판매를 하고, APIC는 일본 내 구매·수입·재판매·마케팅을 담당한다”고 밝혔다. 계약은 양사의 서면 통보가 없다면 1년씩 자동 연장된다.권오석 (kwon0328@edaily.co.kr)취준생을 위한 알짜 정보가 가득 [스냅타임▶]네이버 홈에서 ‘이데일리’ [구독하기▶]꿀잼 '웹툰'이 매일 공짜...[웹툰보기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
8,"[공시]영진약품, 147억6000만원 규모 제품 공급계약",2018-08-01 13:19,"영진약품은 일본 에이피아이(API Corporation)와 147억6000만원 규모의 제품(Loxoprofen Na Hydrate) 공급계약을 맺었다고 1일 공시했다.  이는 작년 매출의 7.5%에 해당한다.  계약 기간은 2023년 7월 31일까지이며, 양사의 서면 통보가 없으면 1년씩 자동 연장된다.   ggg@fnnews.com 강구귀 기자   ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
9,"영진약품, 5거래일 연속 상승... 전일 대비 1% 상승",2018-08-01 14:02,"[한국경제TV 라이온봇 기자][그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률영진약품은 현재 5거래일 연속 상승세를 기록하고 있어 주목할 만하다. 영진약품은 8월 1일 14시 1분 전일 대비 약 1% 상승한 7,570원에 거래되고 있다. 영진약품은 코스피 상장 기업으로 의약품 업종에 속해 있다. 시가총액은 1조3,680억원으로 코스피 상장기업 중 137위에 위치 해 있다.[종목 성향 진단][그림 2] 종목 성향 진단영진약품의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 0.67%, 3개월 수익률은 -12.82%, 6개월 수익률은 -23.83%를 기록했다.영진약품 종목에 대한 투자자의 관심도는 굉장히 높은 편이다.[투자 점수 진단][그림 3] 투자 점수 진단영진약품은 어느 측면에서 투자 매력도가 높은 종목일까?AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.  그 결과 영진약품은 상대적으로 기업안정성 측면에서 두각을 드러내고 있었다.기업안정성 점수는 기업의 재무 구조가 얼마나 안정적인 상태인지를 나타낸다.영진약품은 특히 유동비율 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 414위를 기록하며 상위 21.27%에 위치했다. 업종별로는 87위를 기록하며 상위 40%에 위치했다.그러나 기업 가치 대비 주가 수준을 나타내는 저평가 측면에서는 아쉬움을 나타냈다.(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
