,title,date,context
0,"일양약품, 미국 ESH학회서 백혈병 치료제 '슈펙트' 임상결과 발표",2018-09-17 14:27,"일양약품은 지난 13일~16일 미국 마이애미에서 개최된 ESH학회에서 아시아 최초 백혈병 치료제 신약 '슈펙트(성분명 라도티닙)'의 임상결과를 발표했다고 17일 밝혔다.  이 학회에서 계명대학교 동산의료원 혈액종양내과 도영록 교수가 '슈펙트 환자에게 투여 된 임상 3상의 36개월 장기 추적 연구 결과'를 구연 발표했다.  도 교수는 발표를 통해 슈펙트의 환자에 투여된 36개월 임상시험 결과, 장기 추적에서 새롭게 발생한 심각한 이상반응은 없었으며, 치료 초기에 얻은 우수한 반응율을 지속적으로 유지할 수 있었다고 밝혔다.  그는 ""CML 치료제는 약물을 중단해도 재발 없이 약효가 지속되는 '깊은 분자유전학적반응'에 도달하는 '기능적 완치'에 초점을 맞추는 것""이라며 ""슈펙트도 36개월 동안 장기 추적한 환자 사례에서 깊고 빠른 초기 치료 반응률을 획득함으로써 '기능적 완치'의 가능성을 확인했다""고 말했다.  도 교수는 ""슈펙트 3상의 48개월 결과 분석이 최근 완료돼 오는 12월 세계 최대의 미국 혈액학회에서 발표할 것""이라고 밝혔다.  또 이번 발표에서 그는 이미 시판되었거나 개발중인 CML 치료 약물들에서 확인된 약제별 특징적인 부작용에 대해 비교 언급하며, ""약물들마다 가진 부작용이 다르기 때문에 CML의 치료는 각 환자별 특성에 맞게 '맞춤형 치료'로 이루어져야 한다""고 말했다.  한편, 일양약품 '슈펙트'는 노바티스 '닐로티닙', 브리스톨 '다사티닙'과 함께 진일보한 2세대 약물이며, 차세대 표적항암제 중 가장 저렴한 '경제적인 약가'로 국가보험 재정에도 많은 긍정적인 영향을 미치고 있다. pompom@fnnews.com 정명진 기자   ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
1,"일양약품 백혈병 치료제 '슈펙트', 美 학회서 임상결과 발표",2018-09-17 15:06,"【서울=뉴시스】류난영 기자 = 일양약품은 13~16일 미국 마이애미에서 개최된 ESH학회에서 아시아 최초 백혈병 치료제 신약 '슈펙트'(성분명 라도티닙)의 임상결과를 발표했다고 17일 밝혔다.이 학회에서 계명대학교 동산의료원 혈액종양내과 도영록 교수가 '슈펙트 환자에게 투여 된 임상 3상의 36개월 장기 추적 연구 결과'를 구연 발표했다. 도 교수는 발표를 통해 '슈펙트'의 환자에 투여된 36개월 임상시험 결과 장기 추적에서 새롭게 발생한 심각한 이상반응은 없었으며, 치료 초기에 얻은 우수한 반응율을 지속적으로 유지 할 수 있었다고 밝혔다. 도 교수는 ""슈펙트에 초첨을 맞춘 CML 치료제는 약물을 중단해도 재발 없이 약효가 지속되는 '기능적 완치'에 초점을 맞추는 것""이라며 ""슈펙트도 36개월 동안 장기 추적한 환자 사례에서 깊고 빠른 초기 치료 반응률을 획득해 '기능적 완치' 가능성을 확인했다""고 말했다. 그는 ""슈펙트 3상의 48개월 결과 분석이 최근 완료돼 오는 12월 세계 최대의 미국 혈액학회에서 발표할 것""이라고 밝혔다. 또 이번 발표에서 그는 이미 시판됐거나 개발중인 CML 치료 약물들에서 확인된 약제별 특징적인 부작용에 대해 비교 언급하며 ""약물들마다 가진 부작용이 다르기 때문에 CML의 치료는 각 환자별 특성에 맞게 '맞춤형 치료'로 이뤄져야 한다""고 말했다. 일양약품 '슈펙트'는 노바티스 '닐로티닙', 브리스톨 '다사티닙'과 함께 진일보한 2세대 약물이며 차세대 표적항암제 중 가장 저렴한 '경제적인 약가'로 국가보험 재정에도 많은 긍정적인 영향을 미치고있다. 슈펙트는 중국에서 임상 3상 허가를 받아 현재 임상이 진행중이며, 러시아에서는 슈펙트가 '희귀질환 치료제'로 인정받아 허가를 진행 중이다.you@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
2,"일양약품 ""슈펙트의 기능적 완치 가능성 확인""",2018-09-17 18:00,"지난 13~16일 미국 마이애미에서 개최된 만성골수성백혈병 관련 학회에서 일양약품은 슈펙트의 기능적 완치 가능성을 확인한 연구 결과를 발표했다. [사진 제공 = 일양약품] 일양약품은 유럽혈액학회(ESH)와 국제 만성골수백혈병재단(iCMLf)가 지난 13~16일 미국 마이애미에서 개최한 만성골수성백혈병 관련 학회에서 슈펙트의 기능적 완치 가능성을 확인한 임상 3상의 장기 추적 연구 결과를 발표했다고 17일 밝혔다. 발표자로 나선 도영록 계명대 동산의료원 혈액종양내과 교수는 36개월동안 환자를 추적한 결과 새롭게 발견되 심각한 이상반응이 없었으며, 치료 초기의 우수한 반응률도 유지됐다고 밝혔다. 그는 이번에 발표된 연구 결과에 대해 슈펙트를 사용한 뒤 환자가 '기능적 완치'에 도달할 수 있는 가능성을 확인했다는 데 의미를 뒀다. 기능적 완치는 CML 약물 투약을 중단한 뒤에도 약효가 지속되는 '깊은 분자유전학적 반응'이 나타나는 것을 말한다. 최근 슈펙트 임상 3상의 48개월 장기 추적 관찰 결과에 대한 분석도 마무리돼 오는 12월 미국 혈액학회에서 발표될 예정인 것으로 알려졌다. 슈펙트는 노바티스 '닐로티닙', 브리스톨 '다사티닙'과 함께 만성골수성백혈병을 치료하는 차세대 표적항암제로 꼽힌다. [디지털뉴스국 한경우 기자]▶뉴스 이상의 무궁무진한 프리미엄 읽을거리▶19일, 국회 농해수위 공동 무료 세미나 개최[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
3,"일양약품, '슈펙트' 36개월 추적 임상결과 국제학회서 발표",2018-09-17 15:54,"[ 한민수 기자  ] 일양약품은 개발한 아시아 최초의 백혈병 치료제 신약 '슈펙트'의 36개월 추적 임상결과를 국제학회에서 발표했다고 17일 밝혔다. 계명대학교 동산의료원의 도영록 교수는 임상 3상에서 슈펙트를 투여한 환자의 36개월 장기추적 연구결과를 ESH 학회의 승인을 받아 구연 발표했다. 도 교수는 ""장기 추적에서 새롭게 발생한 심각한 이상반응은 없었으며, 치료 초기에 얻은 우수한 반응율을 지속적으로 유지할 수 있었다""고 설명했다. 또 ""36개월 동안 장기 추적한 환자 사례에서 '기능적 완치'의 가능성을 확인했다""며 ""48개월 결과 분석이 최근 완료돼 오는 12월 세계 최대의 미국 혈액학회에서 발표할 것""이라고 했다. 한민수 한경닷컴 기자 hms@hankyung.com[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
4,"일양약품, 수출 시작한 멕시코서 놀텍 어드바이저리 미팅 개최",2018-09-14 16:38,"일양약품이 최근 멕시코에서 개최한 놀텍 어드바이저리 미팅 현장. [사진 제공 = 일양약품] 일양약품은 멕시코에서 역류성 식도염 치료제 '놀텍(성분명 일라프라졸)'을 판매하고 있는 파트너사 치노인의 요청으로 현지에서 '놀텍-어드바이저리 미팅(Advisory meeting)'을 개최했다고 14일 밝혔다. 치노인의 놀텍 발매에 따라 관련 정보를 공유하기 위해 마련된 이번 미팅에는 멕시코 소화기내과 전문의들과 일양약품 관계자 등이 참석했다. 미팅에 참석한 멕시코 전문의들은 놀텍의 ▲기존 약물보다 긴 반감기 ▲최근 출시된 신약보다 수십배까지 높은 체내흡수율 ▲24시간 동안 지속되는 효과 ▲빠른 약효 발현 등을 높이 평가했다. 또 한국에서의 놀텍 처방 사례가 발표돼 현지 의료진의 이목을 끌었다. 현지에서는 '노루텍(NORUTEC)'이라는 제품명으로 처방되는 놀텍은 멕시코 의약품당국으로부터 '혁신 의약품'으로 지정받은 바 있다. [디지털뉴스국 한경우 기자]▶뉴스 이상의 무궁무진한 프리미엄 읽을거리▶19일, 국회 농해수위 공동 무료 세미나 개최[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
5,"일양약품, 특허공법으로 날리는 피로 ‘6년근 데일리 홍삼정’",2018-09-12 03:38,"[서울신문]면역력 증진, 피로 개선, 혈소판 응집억제를 통한 혈액흐름 개선, 기억력 개선, 항산화에 도움을 주는 일양약품의 ‘6년근 데일리 홍삼정’은 다가오는 추석 선물용으로 적합한 건강기능식품이다.100% 국내산 6년근 홍삼을 함유한 6년근 데일리 홍삼정은 사포닌 함량이 10㎎/g으로 높으며 체내흡수율을 증가시키는 특허공법이 적용된 발효홍삼농축액도 첨가했다. 이와 함께 영지버섯농축액을 부원료로 추가 보강했으며 쓴맛을 줄인 부드러운 맛으로 남녀노소 전 연령대 부담 없이 섭취 가능하다. 특히 6년근 데일리 홍삼정은 휴대하기 간편한 스틱형으로 야근이 잦은 샐러리맨이나 수험생, 운동이나 여행을 갈 때 하나씩 휴대해 물 없이 바로 언제 어디서나 간편하게 섭취 가능한 것이 특징이다.한편 6년근 데일리 홍삼정은 고급스러운 케이스와 쇼핑백을 함께 증정해 다가오는 추석을 맞아 귀한 분께 선물용으로 적합한 제품이다. 6년근 데일리 홍삼정은 일양약품 정품장 제품으로 전통의 노하우와 우수한 품질관리하에 고품격으로 제조해 그 품질을 보증하며, 일양약품에서 운영하는 일양헬스몰에서 구입 가능하다.김희리 기자 hitit@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지"
6,"일양약품, 전일 대비 약 6% 상승한 35,350원",2018-09-10 09:06,"[한국경제TV 라이온봇 기자][그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률일양약품은 9월 10일 9시 6분 전일 대비 약 6% 상승한 35,350원에 거래되고 있다. 일양약품은 코스피 상장 기업으로 의약품 업종에 속해 있다. 시가총액은 6,380억원으로 코스피 상장기업 중 233위에 위치 해 있다.[종목 성향 진단][그림 2] 종목 성향 진단일양약품의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 0.3%, 3개월 수익률은 -15.62%, 6개월 수익률은 -12.3%를 기록했다.일양약품 종목에 대한 투자자의 관심도는 평범한 수준이었다.[투자 점수 진단][그림 3] 투자 점수 진단일양약품은 어느 측면에서 투자 매력도가 높은 종목일까?AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.  그 결과 일양약품은 상대적으로 성장성 측면에서 두각을 드러내고 있었다.성장성 점수는 기업의 실적이 전년 동기 대비 얼마나 증가했는지를 나타낸 지표로 기업의 이익 성장 추세를 나타낸다.일양약품은 특히 매출액증가율(YoY) 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 508위를 기록하며 상위 26.77%에 위치했다. 업종별로는 48위를 기록하며 상위 24.23%에 위치했다.그러나 재무건전성을 나타내는 재무안정성 측면에서는 아쉬운 점을 나타냈다.(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
7,"[한경로보뉴스] '일양약품' 5% 이상 상승, 2018.2Q, 매출액 703억(+15.7%), 영업이익 51억(-8.9%)",2018-09-10 09:04,"전일 1% 상승하며 장을 마친 일양약품은 장 시작과 동시에 전일보다 5.07% 높은 35,200원까지 오르며 투자자들의 관심이 집중되었다. 주가의 흐름은 35,200원으로 개장해서 장중 한때 35,150원(+4.93%)까지 살짝 밀린 후 상승 반전해서 35,900원(+7.16%)까지 올랐었는데, 현재는 35,650원(+6.42%)에서 머물고 있다.◆ 최근 분기 실적- 2018.2Q, 매출액 703억(+15.7%), 영업이익 51억(-8.9%)일양약품의 2018년 2사분기 매출액은 703억으로 전년동기 대비 15.65% 상승했고, 영업이익은 51억으로 전년동기 대비 -8.9% 감소했다. 이 기업은 이번 분기를 포함해서 최근 4분기 연속 영업이익, 당기순이익 흑자를 기록하고 있다.이번 분기의 매출액은 지난 3년 평균 분기 매출액을 107% 상회하는 수준이고, 영업이익은 지난 3년 평균 분기 영업이익을 86% 상회하는 수준이다.이 회사의 매출액 증가율과 영업이익 증가율은 각각 코스피 상위 24%, 하위 45%에 랭킹되고 있다.[표]일양약품 분기실적한경로보뉴스이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.  - 기사오류문의 02-3277-9940[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
8,메르스에 도전 중인 국내 제약·바이오…바이오니아·일양약품,2018-09-10 08:39,"사진=연합뉴스3년 만에 중동호흡기증후군(메르스)이 다시 한국에 상륙했다. 메르스는 치사율이 20~46%에 달하는 감염증으로, 메르스-코로나바이러스에 의해 발병한다. 현재까지 치료제나 예방백신이 없어 손을 자주 씻는 등의 소독예방만이 최선이다. 10일 질병관리본부에 따르면 쿠웨이트에 방문한 61세 남성이 메르스 확진 판정을 받았다. 2015년 이후 3년 만이다. 당시 전국에서 1만6000여명이 격리되고 감염자 186명 가운데 38명이 숨져 전국적으로 공포가 확산됐었다.메르스는 2012년 9월 사우디아라비아에서 처음 보고됐다. 발견 시기가 비교적 최근인 만큼 세계적으로 개발된 치료제나 예방백신이 없다. 그나마 나온 것이 메르스 감염 여부를 확인하는 진단키트다. 바이오니아는 메르스 진단키트를 개발해 2016년 긴급사용승인을 받아 제품을 공급했었다. 지난해에는 식품의약품안전처로부터 체외진단용 의료기기로 정식 품목허가를 획득했다. 분자진단 기술이 적용된 바이오니아의 진단키트는 결과 분석까지 3시간30분 정도가 걸린다. 바이오니아 관계자는 ""주말 질병관리본부와 식약처에서 메르스 진단키트의 재고를 파악해갔다""고 말했다. 메르스 치료제를 개발 중인 국내 기업은 일양약품이다. 일양약품은 2016년 7월 미래창조과학부(현 과학기술정보통신부)가 주관한 '신·변종 바이러스 원천 기술개발' 연구과제 공모에서 메르스 바이러스 치료제 개발 업체로 선정됐다. 2015년 일양약품이 메르스 바이러스 치료물질을 발견해 광범위한 연구를 진행한 성과를 인정받았다. 이 과제는 57개월간 진행될 예정으로 아직 초기단계다.메르스 예방백신 개발에 있어서는 진원생명과학이 있다. 진원생명과학은 미국 관계사 이노비오와 함께 메르스 예방 DNA백신인 'GLS-5300'을 개발 중이다. 국내 1·2a상의 첫 번째 임상대상자 접종이 이달 초 이뤄졌다. 미국 월터리드 육군연구소 임상센터에서 진행한 1상에서는 임상시험 대상자의 95%에서 항체가 생성되는 결과를 보였다. 한민수 한경닷컴 기자 hms@hankyung.com[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
9,[ET투자뉴스][주요투자자 대량지분변동] 일양약품(007570),2018-08-24 16:34,"일양약품(007570)은 24일 최대주주 정도언의 보유주식이 보유지분율에서의 변화는 없다고 발표했다. 이번 보고서에 따르면 보고자의 주식수는 5064617주이며, 현재 보유지분율은 25.98%를 유지하고 있다. 이번 보고 사유는 특수관계인담보제공으로  알려졌다.  최대주주와 특수관계자의 지분 변동은 주가에 영향을 주는 요인이다. 특히 보유비율을 지속적으로 늘리거나 줄일 경우, 해당종목 투자시 유의할 필요가 있다.  다음은 일양약품의 지분 변동 내역과 보유 내역이다. 증시분석 전문기자 로봇 ET etbot@etnews.com전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
10,"[한경로보뉴스] '일양약품' 5% 이상 상승, 외국계 증권사 창구의 거래비중 14% 수준",2018-08-17 14:38,"17일 오후 14시 34분 현재 일양약품은 전 거래일보다 5.1% 오른 32,950원에 거래되고 있다. 주가의 흐름을 살펴보면 31,650원으로 개장해서 장중 한때 31,450원(+0.32%)까지 살짝 밀렸지만, 다시 큰 폭으로 올라서 현재 32,950원(+5.1%)까지 상승하고 있다.◆ 거래원 동향- 외국계 증권사 창구의 거래비중 14% 수준거래원 동향은 메릴린치, JP모건, NH투자 등이 매수 상위 목록에 위치하고 있다.지금까지 외국계(추정) 증권사 창구를 통한 거래 비중은 14% 수준이다. 그리고 이 시간 메릴린치가 매수창구상위에 올라있는 종목은 이 종목 이외에도 CSA 코스믹, 에스트래픽 등이 있다.[표]일양약품 거래원 동향◆ 차트 분석- 주가 상승 흐름, 단기 이평선 정배열, 중기 이평선 역배열차트상 주가의 흐름은 중기 추세상으로는 역배열 구간에 있지만 단기적으로는 정배열 구간에서 상승흐름을 이어왔다.이 종목의 차트에서 최근에 주가 5MA 상향돌파, 최근 5일 매물대 돌파 등을 확인할 수 있다[표]일양약품 차트 분석한경로보뉴스이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.  - 기사오류문의 02-3277-9940[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
