,title,uploader,time,clicker
0,살로몬 아이돌 15/16 데크 144 + 나이트로 바인딩 +써리투 라쉬드 230,우앙우앙1234,19:07,17
1,다이나스타 데크 146 드레이크 바인딩 sm(235~265) 팝니다,우짜짜화니,19:07,4
2,1718 GNU 여자데크 레이디스초이스 142 + 1718 벤트메탈 바인딩,이수,18:26,21
3,살로몬 데크 바인딩 부츠. 데몬 헬멧 고글 풀 셋트 판매합니다,kjo9836,18:19,62
4,"입문용 해머데크 세트, 기타 보드복",AsFarital,17:57,74
5,17/18 011 플랫킹 데크 150 판매합니다.,wlsgns,17:51,46
6,스노우보드 데크,폴리구조대,16:56,99
7,스노우보드 데크와 바인딩 판매합니다,didwldmsdldl,16:21,82
8,15/16 f2 카본 데크 161 팝니다(엣지백 포함),블루미카,15:31,98
9,"[1718 니데커 에어리어153] 라이딩용데크, [1516 얼라이언 아틀란티스 151] 올라운드 데크 팝니다..",lmk403,14:45,54
10,버튼 보드 데크 및 바인딩 15만 팔아요~ 154.5 사이즈,미슐랭쓰리스타,14:22,47
11,15/16 SMOKIN 144 스모킨 빅센 더블캠버 데크,김장군,14:07,19
12,반스 보드신발/k2 www데크 / 바인딩 보드풀셋팝니다.,신까꿍,14:03,55
13,"버트부츠,드레이크바인딩,아토믹데크 풀셋트 판매합니다 4만원입니다 ^^;; 택배는 착불입니다 직거래 원합니다",마두촌놈,13:24,34
14,나이트로 데크 플럭스 바인딩 유니온 바인딩(부품용)일괄 판매합니다,파링파링파링,13:13,45
15,올라운드 입문 세트! ACC 카지노 데크 + 유니온 컨택트 바인딩 + 부츠 세트 팝니다,layla00,13:09,58
16,유니온 바인딩 + BTM데크 팝니다!!!,dbwodls12,12:31,24
17,"그레이데크,나이트로데크,써리투부츠 팝니다",라니아,12:19,66
18,"16/17 엘리미네이터 월드컵 우드 158 팝니다(헤머데크,입문)",어머숏코,12:06,50
19,여성 살로몬 보드 풀셋 판매(데크 바인딩 부츠),그녀향기v,11:34,37
20,(핀매)ACC POISON 149(데크) + FOLW S(바인딩) 5만원에 팝니다.,aswer86,11:33,52
21,"2만원)F2 보드데크, 바인딩, 가방 판매합니다",dpgks3,11:11,53
22,알파인보드/데크(시기) 판매합니다..,까라s2,11:06,49
23,1718 마피아 데크 152 미사용 40에 팜니다 ~,gmfrrltk124,10:43,34
24,유니온 바인딩+BTM데크 팔아요!!!!,dbwodls12,10:31,18
25,스노우보드 데크 팝니다. (가격인하),oSEANo,10:28,102
26,★스노우보드스티커★ 데크스티커★ 헬멧스티커★주문제작 스티커 판매합니다~ 180여종의 디자인.. 개인 소량 주문제작도 가능합니다~,Snowmate,10:26,34
27,입문용 데크,yafeel2ya,10:25,28
28,스노우보드 데크 판매합니다,말동,10:10,103
29,스노우보드 데크 150cm / 10만원,judung삼천리,09:55,67
30,"보드 세트( bern 데크, drake 바인딩, capix 헬멧, 고글, 무릎, 엉덩이 보호대, 장갑) 팝니다!",017631e,09:26,97
31,[ 13만원] 고급 스노보드 데크 팝니다,SKY,08:18,107
32,스노우보드 데크 한정판 볼컴 사자데크 W캠 1시즌사용,폴라베어,00:39,114
33,부산) 1617 011플랫킹 152 사이즈 데크만 팜,howon2,00:24,98
34,(삽니다) 해머데크 허리 255 이상 삽니다,사팔따리,00:22,16
35,살로몬 정품 보드 데크(바인딩) 부츠 일체 (가방포함) A급 판매합니다220~230 사이즈 (45만원) : 인천 거주,kjt4441444,2018.09.11.,56
36,데크(APO 159)+바인딩(유니온포스)+부츠(말라뮤트) 세트로 입문용으로 팝니다. (15만원),뚜부,2018.09.11.,190
37,버튼 상급 커스텀 플라잉 데크 세트 판매합니다,kjhkjh6914,2018.09.11.,121
38,유니온 바인딩 + BTM 데크 팝니다!!!!!,dbwodls12,2018.09.11.,35
39,네버썸머 레이븐 데크 팝니다,bammm5204,2018.09.11.,77
40,올라운드 데크 바인딩 1516네버썸머 프로토hd 154 버튼제네시스m,흰초루,2018.09.11.,64
41,네버썸머 1718 펀슬링거 149사이즈 데크,로시에트,2018.09.11.,50
42,♥신규스티커 업데이트 완료 ★스노우보드스티커★ 데크스티커★ 헬멧스티커★주문제작 스티커 판매합니다~ 180여종의 디자인.. 개인 소량 주문제작도 가능합니다~,Snowmate,2018.09.11.,43
43,유니온 바인딩 + BTM데크 팝니다!!!,dbwodls12,2018.09.11.,33
44,플로우데크세트 팜 바인딩 부츠270,별별달달달,2018.09.11.,63
45,"입문용데크바인딩, 써리투 팀투 부츠 팝니다",아답,2018.09.11.,76
46,데크 부츠 바인딩 판매합니다,아답,2018.09.11.,59
47,16.17 라이스28 RT9 새데크팝니다.,YoUnG,2018.09.11.,68
48,1617 DWD MAET 데크 및 유니온 팀 바인딩(하얀색) 판매하려합니다,mate299,2018.09.11.,50
49,해머데크 PRIOR BX 152 티탄 새제품,오르프앙,2018.09.11.,101
50,얼라이언데크 + 플러스 바인딩 팝니다,울트라,2018.09.11.,113
51,버즈런 스노우보드 데크 바인딩 148,Hello,2018.09.11.,93
52,<살로몬그레이스11> 스노우보드데크 완전좋습니다>< 이뻐요이뻐,잉잉이1,2018.09.11.,86
53,♥신규스티커 업데이트 완료 ★스노우보드스티커★ 데크스티커★ 헬멧스티커★주문제작 스티커 판매합니다~ 180여종의 디자인.. 개인 소량 주문제작도 가능합니다~,Snowmate,2018.09.11.,25
54,버튼 커스텀 데크 판매합니다. 151cm,leeky3719,2018.09.11.,104
55,유니온 바인딩+ BTM데크 팝니다!!!,dbwodls12,2018.09.11.,46
56,여성 최상급 데크 버튼 필굿 + 버튼 바인딩 에스카페이드 판매합니다.,허미즈양,2018.09.11.,78
57,"바이어리 벅 데크(시스템 바인딩), 부츠(사이즈8)",kks7398,2018.09.11.,17
58,비티엠데크+유니온바인딩팝니다.(여성보드입문자추천),dbwodls12,2018.09.11.,22
59,비티엠데크+유니온바인딩 팝니다.(여자보드입문자추천),dbwodls12,2018.09.11.,11
60,스노우보드 여자 데크+ 부츠 정리합니다.,Janvari,2018.09.11.,141
61,유니온 바인딩+ BTM데크 팝니다!!!,dbwodls12,2018.09.11.,22
62,초중급자에게 최고 버튼새데크 nug 142.146.148 사이즈 새제품 검나싸게 내놔요,서울숲맘,2018.09.11.,48
63,"주니어용 데크, 바인딩 팝니다.",pano,2018.09.11.,23
64,유니온 바인딩+BTM 데크 팝니다!!!,dbwodls12,2018.09.11.,24
65,비티엠데크+유니온바인딩 팝니다.(여성보드입문자추천),dbwodls12,2018.09.11.,37
66,비티엠데크+유니온바인딩 팝니다!,dbwodls12,2018.09.11.,29
67,테크나인 데크 판매합니다/ 149cmm / 11만원,Psychedelist,2018.09.10.,46
68,프로젝트 WR데크 153 및 바인딩 및 어반어스데님바지등 세트판매합니다.,중고킹왕짱,2018.09.10.,94
